"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\baseInterface\autoAuditableBase.interface.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\baseInterface\manualAuditableBase.interface.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\DepartmentTypeEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 5, 2, 11
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\FocusStatusEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 4, 0, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\GenderEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 5, 4, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\ListicleTypeEnum.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\NoticeStatusEnum.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 7, 0, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\NotificationTypeEnum.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 10, 1, 19
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PaymentStatusEnum.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 6, 2, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PermissionRangeEnum.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PermissionTypeEnum.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 5, 4, 17
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PriorityEnum.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 4, 2, 12
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\ReadStatus.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 5, 2, 11
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\ResourceTypeEnum.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\RoleTypeEnum.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\RowStatusEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 6, 4, 14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\SettingSwitchEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 5, 4, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\TaskCheckinStatusEnum.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 7, 2, 15
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\TaskCheckinType.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 8, 3, 18
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\TaskStatusEnum.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 7, 4, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\TaskTypeEnum.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\ThemeEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 5, 1, 10
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\TimeTypeEnum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 5, 1, 10
