"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\interface\personal-task.interface.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 24, 4, 39
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\interface\public-task.interface.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 47, 13, 77
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\interface\tag.interface.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 12, 6, 27
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\listicle.service.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 2, 31
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\personal-task.service.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 7, 3, 40
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\public-task.service.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 10, 10, 82
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\services\tag.serviece.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 3, 5, 37
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\task.module.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 5, 5, 86
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\updown\entities\file.entity.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 15, 7, 48
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\updown\entities\interfaces\file.interface.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\updown\updown.moudle.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\controllers\auth.controller.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 5, 4, 21
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\controllers\org-dep.controller.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\controllers\user.controller.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 10, 6, 44
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\department\create-department.dto.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 5, 60
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\department\internal-department.dto.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 4, 8, 89
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\department\response-department.dto.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 1, 7, 73
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\department\update-department.dto.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 7, 50
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\oraganization\create-organization.dto.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 6, 49
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\oraganization\internal-organization.dto.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 5, 11, 84
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\oraganization\response-organization.dto.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 4, 9, 113
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\oraganization\update-organization.dto.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 8, 5, 69
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\permission\create-permission.dto.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 14, 6, 89
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\permission\internal-permission.dto.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 2, 11, 80
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\dto\permission\response-permission.dto.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 8, 14, 120
